SEDOL,Name,Holding,Value,Weight
X8C505A,MAGNIT PJSC COMMON STOCK RUB 0.01,180877,52710.08,0.0024814897283243326
X84D1F6,GAZPROM NEFT PJSC COMMON STOCK RUB,1265335,47632.4,0.0022424422678818915
X84C973,TATNEFT PJSC COMMON STOCK RUB,730066,25760.4,0.0012127503505501439
X8C6150,TATNEFT PJSC PREFERENCE RUB 1,571359,17853.47,0.0008405072126611575
X84C978,ROSTELECOM PJSC COMMON STOCK RUB,6156103,41087.8,0.0019343350201601764
X8C6392,VTB BANK PJSC COMMON STOCK RUB 0.01,4246654,39967.73,0.0018816042673325533
X84D1F8,POLYUS PJSC COMMON STOCK RUB,29773,26489.34,0.0012470674512368577
X8C6397,MD MEDICAL GROUP INVESTMENTS PLC GDR USD,432517,19175.88,0.0009027637455981854
X84D1F7,SISTEMA PJSFC COMMON STOCK RUB 0.09,12313057,14412.97,0.000678535054578683
X84CF24,FIX PRICE GROUP LTD GDR,577525,4222.56,0.00019879004674690673
X8C4FD3,TCS GROUP HOLDING PLC GDR,75226,1868.29,8.795551903034612e-05
X8C4FD9,X 5 RETAIL GROUP NV-REGS GDR,275182,1137.42,5.354755763585755e-05
X84C975,SEVERSTAL PAO GDR USD,552780,258.41,1.2165448443566975e-05
