,Security Description,Symbol,Exchange,Currency,Holding Jun24,SP Today lc,fx gbp today,SP Today GBP,nav gbp today
77,ARABIAN CENTRES CO COMMON STOCK SAR 10,4321,TADAWUL,SAR,31957.0,21.459999,0.2016,4.3263357984,138256.71310946878
78,BUPA ARABIA FOR COOPERATIVE INSURANCE CO COMMON STOCK SAR 10,8210,TADAWUL,SAR,2526.0,234.39999,0.2016,47.255037984,119366.225947584
79,YAPI VE KREDI BANKASI AS COMMON STOCK TRY 1,YKBNK,BIST,TRY,165133.0,31.139999,0.02214,0.68943957786,113849.22581075538
80,OOREDOO QPSC COMMON STOCK QAR 1,ORDS,ADX,AED,60427.0,10.84,0.20763,2.2507092,136003.6048284
81,TECOM GROUP PJSC COMMON STOCK AED,TECOM,DFM,AED,234111.0,2.95,0.20763,0.6125085,143394.9774435
82,AVI LTD COMMON STOCK ZAR 5,AVI,JSE,ZAR,30154.0,9947.0,0.04233,4.2105651,126965.38002540001
83,MOTUS HOLDINGS LTD COMMON STOCK ZAR,MTH,JSE,ZAR,30065.0,11310.0,0.04233,4.787523,143936.878995
84,ADNOC LOGISTICS & SERVICES COMMON STOCK AED,ADNOCLS,ADX,AED,133931.0,4.96,0.20763,1.0298448,137928.1439088
85,ALDREES PETROLEUM AND TRANSPORT SERVICES CO COMMON STOCK SAR 10,4200,TADAWUL,SAR,4570.0,125.6,0.2016,25.32096,115716.78719999999
86,ERSTE GROUP BANK AG COMMON STOCK EUR 0,0MJK,LSIN,EUR,2657.0,47.720001,0.84891,40.50998604891001,107635.03293195389
87,ARABIAN DRILLING CO COMMON STOCK SAR 10,2381,TADAWUL,SAR,3385.0,121.0,0.2016,24.3936,82572.336
88,RAIFFEISEN BANK INTERNATIONAL AG COMMON STOCK EUR 0,0NXR,LSIN,EUR,5361.0,17.115,0.84891,14.52909465,77890.47641865
89,NOVATEK PJSC TOTAL,NVTK,ALOR,RUB,1372062.0,954.6,0.008331,7.9527726,10911697.079101201
90,NOVOLIPETSK STEEL PJSC COMMON STOCK RUB,NLMK,ALOR,RUB,3657350.0,143.8,0.008331,1.1979978,4381497.25383
91,POLYUS PJSC COMMON STOCK RUB,PLZL,ALOR,RUB,29773.0,12612.0,0.008331,105.070572,3128266.140156
92,ROSNEFT OIL CO PJSC TOTAL,ROSN,ALOR,RUB,3719692.0,476.25,0.008331,3.96763875,14758394.117265
93,ROSTELECOM PJSC COMMON STOCK RUB,RTKM,ALOR,RUB,6156103.0,79.48,0.008331,0.66214788,4076250.55051164
94,SBERBANK OF RUSSIA PJSC TOTAL,SBER,ALOR,RUB,16810961.0,262.14,0.008331,2.1838883399999998,36713261.71209474
95,SEVERSTAL PAO GDR USD,CHMF,ALOR,RUB,552780.0,1301.8,0.008331,10.845295799999999,5995062.612323999
96,SISTEMA PJSFC COMMON STOCK RUB 0.09,AFKS,ALOR,RUB,12313057.0,18.004,0.008331,0.149991324,1846851.7219174681
97,TATNEFT PJSC TOTAL,TATN,ALOR,RUB,1301425.0,600.3,0.008331,5.0010993,6508555.6565025
98,TCS GROUP HOLDING PLC GDR,TCSG,ALOR,RUB,75226.0,2576.5,0.008331,21.4648215,1614712.662159
99,VTB BANK PJSC COMMON STOCK RUB 0.01,VTBR,ALOR,RUB,4246655.0,96.45,0.008331,0.80352495,3412293.2465422503
100,X 5 RETAIL GROUP NV-REGS GDR,FIVE,ALOR,RUB,275182.0,2798.0,0.008331,23.310138,6414530.3951159995
101,YANDEX NV COMMON STOCK USD 0.01,YDEX,ALOR,RUB,169819.0,3802.0,0.008331,31.674462,5378925.462378
