,Security Description,Issuer,Type,Security No.
93,LUKOIL PJSC COMMON STOCK RUB,LUKOIL PJSC ,COMMON STOCK RUB,X84D1F5
94,LUKOIL PJSC COMMON STOCK RUB 0.025 RUB,LUKOIL PJSC ,COMMON STOCK RUB 0.025 RUB,2H6442S
95,LUKOIL PJSC COMMON STOCK RUB 0.025 RUB,LUKOIL PJSC ,COMMON STOCK RUB 0.025 RUB,X84C974
96,LUMI RENTAL CO COMMON STOCK SAR 10,LUMI RENTAL CO ,COMMON STOCK SAR 10,BN4J940
97,MAGNIT PJSC COMMON STOCK RUB 0.01,MAGNIT PJSC ,COMMON STOCK RUB 0.01,0H5813S
98,MAGNIT PJSC COMMON STOCK RUB 0.01,MAGNIT PJSC ,COMMON STOCK RUB 0.01,X8C505A
99,MAGYAR TELEKOM TELECOMMUNICATIONS PLC COMMON STOCK HUF 100,MAGYAR TELEKOM TELECOMMUNICATIONS PLC ,COMMON STOCK HUF 100,4577469
100,MD MEDICAL GROUP INVESTMENTS PLC GDR USD,MD MEDICAL GROUP INVESTMENTS PLC GDR USD,,0H6371S
101,MD MEDICAL GROUP INVESTMENTS PLC GDR USD,MD MEDICAL GROUP INVESTMENTS PLC GDR USD,,X8C6397
102,METLEN ENERGY & METALS PLC COMMON STOCK EUR 1,METLEN ENERGY & METALS PLC ,COMMON STOCK EUR 1,BTQGS77
103,METLEN ENERGY & METALS SA COMMON STOCK ,METLEN ENERGY & METALS SA ,COMMON STOCK ,5898664
104,MMC NORILSK NICKEL PJSC COMMON STOCK RUB 1,MMC NORILSK NICKEL PJSC ,COMMON STOCK RUB 1,0H5804S
105,MMC NORILSK NICKEL PJSC COMMON STOCK RUB 1,MMC NORILSK NICKEL PJSC ,COMMON STOCK RUB 1,X84C977
106,MODERN MILLS CO COMMON STOCK SAR 10,MODERN MILLS CO ,COMMON STOCK SAR 10,BSLKY24
107,MOL HUNGARIAN OIL & GAS PLC COMMON STOCK HUF 125,MOL HUNGARIAN OIL & GAS PLC ,COMMON STOCK HUF 125,BD5ZXH8
108,MONETA MONEY BANK AS COMMON STOCK CZK 20,MONETA MONEY BANK AS ,COMMON STOCK CZK 20,BD3CQ16
109,MOTOR OIL HELLAS CORINTH REFINERIES SA COMMON STOCK EUR 0.75,MOTOR OIL HELLAS CORINTH REFINERIES SA ,COMMON STOCK EUR 0.75,5996234
110,MOTUS HOLDINGS LTD COMMON STOCK ZAR,MOTUS HOLDINGS LTD ,COMMON STOCK ZAR,BDRN3H0
111,MOUWASAT MEDICAL SERVICES CO COMMON STOCK SAR 10,MOUWASAT MEDICAL SERVICES CO ,COMMON STOCK SAR 10,B403QG4
112,MR PRICE GROUP LTD COMMON STOCK ZAR 0.025,MR PRICE GROUP LTD ,COMMON STOCK ZAR 0.025,BYXW419
113,MTN GROUP LTD COMMON STOCK ZAR 0.01,MTN GROUP LTD ,COMMON STOCK ZAR 0.01,6563206
114,NAC KAZATOMPROM JSC GDR USD,NAC KAZATOMPROM JSC GDR USD,,BGXQL36
115,NASPERS LTD COMMON STOCK ZAR 2,NASPERS LTD ,COMMON STOCK ZAR 2,BN0VX82
116,NASPERS LTD COMMON STOCK ZAR 2,NASPERS LTD ,COMMON STOCK ZAR 2,BV2FFX7
117,NASPERS LTD COMMON STOCK ZAR 2,NASPERS LTD ,COMMON STOCK ZAR 2,6622691
118,NATIONAL BANK OF GREECE SA COMMON STOCK EUR 1,NATIONAL BANK OF GREECE SA ,COMMON STOCK EUR 1,BG087C6
119,NATIONAL BANK OF KUWAIT SAKP COMMON STOCK KWD 100,NATIONAL BANK OF KUWAIT SAKP ,COMMON STOCK KWD 100,6889526
120,NEDBANK GROUP LTD COMMON STOCK ZAR 100,NEDBANK GROUP LTD ,COMMON STOCK ZAR 100,6628008
121,NORTHAM PLATINUM HOLDINGS LTD COMMON STOCK ZAR,NORTHAM PLATINUM HOLDINGS LTD ,COMMON STOCK ZAR,BMZ1NS0
122,NOVA LJUBLJANSKA BANKA DD GDR EUR,NOVA LJUBLJANSKA BANKA DD GDR EUR,,BGRPD22
123,NOVATEK PJSC COMMON STOCK RUB 0.1,NOVATEK PJSC ,COMMON STOCK RUB 0.1,0H5828S
124,NOVATEK PJSC COMMON STOCK RUB 0.1,NOVATEK PJSC ,COMMON STOCK RUB 0.1,2H6464S
125,NOVATEK PJSC COMMON STOCK RUB 0.1,NOVATEK PJSC ,COMMON STOCK RUB 0.1,X84C972
126,NOVATEK PJSC COMMON STOCK RUB 0.1,NOVATEK PJSC ,COMMON STOCK RUB 0.1,X84C970
127,NOVOLIPETSK STEEL PJSC COMMON STOCK RUB,NOVOLIPETSK STEEL PJSC ,COMMON STOCK RUB,X84C97E
128,NOVOLIPETSK STEEL PJSC COMMON STOCK RUB,NOVOLIPETSK STEEL PJSC ,COMMON STOCK RUB,2H7675S
129,OLD MUTUAL LTD COMMON STOCK ZAR,OLD MUTUAL LTD ,COMMON STOCK ZAR,BDVPYN5
130,OOREDOO QPSC COMMON STOCK QAR 1,OOREDOO QPSC ,COMMON STOCK QAR 1,6158174
131,OPAP SA COMMON STOCK EUR 0.3,OPAP SA ,COMMON STOCK EUR 0.3,7107250
132,OPTIMA BANK SA COMMON STOCK EUR 3.45,OPTIMA BANK SA ,COMMON STOCK EUR 3.45,BL571C1
133,OTP BANK NYRT COMMON STOCK HUF 100,OTP BANK NYRT ,COMMON STOCK HUF 100,7320154
134,OUTSURANCE GROUP LTD COMMON STOCK ZAR 0.0001,OUTSURANCE GROUP LTD ,COMMON STOCK ZAR 0.0001,BN6QSM0
135,PARKIN CO PJSC COMMON STOCK AED 0.02,PARKIN CO PJSC ,COMMON STOCK AED 0.02,BRRGQF6
136,PARKIN CO PJSC COMMON STOCK AED 0.02,PARKIN CO PJSC ,COMMON STOCK AED 0.02,WB1B623
137,PIRAEUS BANK SA COMMON STOCK EUR 0.93,PIRAEUS BANK SA ,COMMON STOCK EUR 0.93,BVLKBV3
138,PIRAEUS FINANCIAL HOLDINGS SA COMMON STOCK EUR 0.93,PIRAEUS FINANCIAL HOLDINGS SA ,COMMON STOCK EUR 0.93,BNC0DB0
139,POLYUS PJSC COMMON STOCK RUB,POLYUS PJSC ,COMMON STOCK RUB,X84D1F8
140,POLYUS PJSC COMMON STOCK RUB,POLYUS PJSC ,COMMON STOCK RUB,2H7182S
141,POWSZECHNA KASA OSZCZEDNOSCI BANK POLSKI SA COMMON STOCK PLN 1,POWSZECHNA KASA OSZCZEDNOSCI BANK POLSKI SA ,COMMON STOCK PLN 1,B03NGS5
142,POWSZECHNY ZAKLAD UBEZPIECZEN SA COMMON STOCK PLN 0.1,POWSZECHNY ZAKLAD UBEZPIECZEN SA ,COMMON STOCK PLN 0.1,B63DG21
143,QATAR GAS TRANSPORT CO LTD COMMON STOCK QAR 1,QATAR GAS TRANSPORT CO LTD ,COMMON STOCK QAR 1,B0MLBC9
144,QATAR NATIONAL BANK QPSC COMMON STOCK QAR 1,QATAR NATIONAL BANK QPSC ,COMMON STOCK QAR 1,6148197
145,RAIFFEISEN BANK INTERNATIONAL AG COMMON STOCK EUR 0,RAIFFEISEN BANK INTERNATIONAL AG ,COMMON STOCK EUR 0,B0704T9
146,RICHTER GEDEON NYRT COMMON STOCK ,RICHTER GEDEON NYRT ,COMMON STOCK ,BC9ZH86
147,RIYAD BANK COMMON STOCK SAR 10,RIYAD BANK ,COMMON STOCK SAR 10,B12LZW4
148,RIYADH CABLES GROUP CO COMMON STOCK SAR 10,RIYADH CABLES GROUP CO ,COMMON STOCK SAR 10,BNBPXW7
149,ROSNEFT OIL CO PJSC COMMON STOCK RUB,ROSNEFT OIL CO PJSC ,COMMON STOCK RUB,2H7674S
150,ROSNEFT OIL CO PJSC COMMON STOCK RUB,ROSNEFT OIL CO PJSC ,COMMON STOCK RUB,X84D1F9
151,ROSNEFT OIL CO PJSC COMMON STOCK RUB 0.01,ROSNEFT OIL CO PJSC ,COMMON STOCK RUB 0.01,0H5827S
152,ROSNEFT OIL CO PJSC COMMON STOCK RUB 0.01,ROSNEFT OIL CO PJSC ,COMMON STOCK RUB 0.01,X84C971
153,ROSTELECOM PJSC COMMON STOCK RUB,ROSTELECOM PJSC ,COMMON STOCK RUB,X84C978
154,ROSTELECOM PJSC COMMON STOCK RUB,ROSTELECOM PJSC ,COMMON STOCK RUB,0H5802S
155,SABIC AGRI-NUTRIENTS CO COMMON STOCK SAR 10,SABIC AGRI-NUTRIENTS CO ,COMMON STOCK SAR 10,B1323K0
156,SAHARA INTERNATIONAL PETROCHEMICAL CO COMMON STOCK SAR 10,SAHARA INTERNATIONAL PETROCHEMICAL CO ,COMMON STOCK SAR 10,B1C1NH5
