Security Description,Market Value,% of Fund,Security No.,Holding May24,Holding Jun24,Change
SALIK CO PJSC COMMON STOCK AED 0.01,135941.71,0.006788482005320603,BJN5952,187852.0,187852.0,0.0
MMC NORILSK NICKEL PJSC COMMON STOCK RUB 1,135936.9,0.00678824180973644,0H5804S,7119200.0,7119200.0,0.0
ARABIAN CENTRES CO COMMON STOCK SAR 10,135849.66,0.006783885330991659,BKBF694,31957.0,31957.0,0.0
BUPA ARABIA FOR COOPERATIVE INSURANCE CO COMMON STOCK SAR 10,135397.59,0.006761310441650152,B2RLCR0,2526.0,2526.0,0.0
YAPI VE KREDI BANKASI AS COMMON STOCK TRY 1,134683.32,0.006725642146452598,B03MZJ6,0.0,165133.0,165133.0
OOREDOO QPSC COMMON STOCK QAR 1,132470.78,0.006615155173940246,6158174,60427.0,60427.0,0.0
TECOM GROUP PJSC COMMON STOCK AED,131097.02,0.006546554116622155,BLDC8Q1,234111.0,234111.0,0.0
AVI LTD COMMON STOCK ZAR 5,123568.55,0.006170607079303028,6040958,30154.0,30154.0,0.0
MOTUS HOLDINGS LTD COMMON STOCK ZAR,120325.3,0.006008649838484474,BDRN3H0,30065.0,30065.0,0.0
ADNOC LOGISTICS & SERVICES COMMON STOCK AED,120285.92,0.006006683330770472,BRBN103,133931.0,133931.0,0.0
ALDREES PETROLEUM AND TRANSPORT SERVICES CO COMMON STOCK SAR 10,117565.01,0.005870810032037531,B128FF8,4570.0,4570.0,0.0
ROSNEFT OIL CO PJSC COMMON STOCK RUB 0.01,60123.19,0.003002354416591285,0H5827S,2041744.0,2041744.0,0.0
ROSNEFT OIL CO PJSC COMMON STOCK RUB,47401.13,0.002367056571797299,2H7674S,1677948.0,1677948.0,0.0
ERSTE GROUP BANK AG COMMON STOCK EUR 0,99682.03,0.004977792812145945,5289837,2657.0,2657.0,0.0
ARABIAN DRILLING CO COMMON STOCK SAR 10,96216.73,0.004804747124453496,BPNZYP9,3385.0,3385.0,0.0
RAIFFEISEN BANK INTERNATIONAL AG COMMON STOCK EUR 0,73633.07,0.0036769934017419114,B0704T9,5361.0,5361.0,0.0
NOVOLIPETSK STEEL PJSC COMMON STOCK RUB,62896.61,0.0031408498920652674,2H7675S,3657350.0,3657350.0,0.0
MAGNIT PJSC COMMON STOCK RUB 0.01,53608.66,0.0026770402089200617,0H5813S,180877.0,180877.0,0.0
GAZPROM NEFT PJSC COMMON STOCK RUB,48444.43,0.002419155543306124,0H5803S,1265335.0,1265335.0,0.0
TATNEFT PJSC COMMON STOCK RUB,26199.56,0.0013083198792138004,0H5822S,730066.0,730066.0,0.0
TATNEFT PJSC PREFERENCE RUB 1,18157.84,0.0009067428245200878,0H5816S,571359.0,571359.0,0.0
ROSTELECOM PJSC COMMON STOCK RUB,41788.25,0.0020867678003964984,0H5802S,6156103.0,6156103.0,0.0
VTB BANK PJSC COMMON STOCK RUB 0.01,39977.21,0.0019963304177056684,0H5837S,21233273216.0,21233273216.0,0.0
POLYUS PJSC COMMON STOCK RUB,30376.87,0.0015169210051349455,2H7182S,29773.0,29773.0,0.0
YANDEX NV COMMON STOCK USD 0.01,25443.97,0.001270588199081189,0H6379S,169819.0,169819.0,0.0
MD MEDICAL GROUP INVESTMENTS PLC GDR USD,19502.78,0.0009739047058016744,0H6371S,432517.0,432517.0,0.0
SISTEMA PJSFC COMMON STOCK RUB 0.09,14658.68,0.0007320062797632384,0H5808S,12313057.0,12313057.0,0.0
FIX PRICE GROUP LTD GDR,4294.55,0.0002144557060224533,0H6372S,577525.0,577525.0,0.0
TCS GROUP HOLDING PLC GDR,1900.14,9.488674371971555e-05,0H6380S,75226.0,75226.0,0.0
X 5 RETAIL GROUP NV-REGS GDR,1156.81,5.7767287674805084e-05,0H6365S,275182.0,275182.0,0.0
SEVERSTAL PAO GDR USD,262.81,1.3123867250296526e-05,0H6368S,552780.0,552780.0,0.0
