Security Description,Security No.,Symbol,Exchange,Currency,Conv Rate,Holding,Market Value,SP LC,SP GBP,Holding GBP
ROSNEFT OIL CO PJSC COMMON STOCK RUB 0.01,X84C971,ROSN,RUS,RUB,1,2041744,55384.75,393.65,3.7723479499999995,7702168.792824799
ROSTELECOM PJSC COMMON STOCK RUB,X84C978,RTKM,RUS,RUB,1,6156103,38494.83,64.87,0.6216492100000001,3826936.5666286303
SANLAM LTD COMMON STOCK ZAR 1,B0L6750,SLM,JSE,ZAC,1,69192,317546.51,10629.0,4.9403592000000005,341833.33376640006
SARANTIS SA EUR1.53,7124958,SAR,ATHEX,EUR,1,24341,286143.62,14.54,12.739511799999999,310092.4567238
SASOL LTD COMMON STOCK ZAR 0,6777450,SOL,JSE,ZAC,1,90498,469196.44,14300.0,6.6466400000000005,601507.6267200001
SAUDI AWWAL BANK COMMON STOCK SAR 10,B12LSY7,1060,TADAWUL,SAR,1,26440,183290.82,34.22,6.703697999999999,177245.77511999998
SAUDI GROUND SERVICES CO COMMON STOCK SAR 10,BYYTJ69,4031,TADAWUL,SAR,1,20014,143798.79,32.4,6.34716,127032.06023999999
SBERBANK OF RUSSIA PJSC,X8C6398,SBER,RUS,RUB,1,2355925,27077.59,314.86,3.01730338,7108540.4655265
SBERBANK OF RUSSIA PJSC PREFERENCE RUB 3,X8C6155,SBER,RUS,RUB,1,14455036,167347.02,314.86,3.01730338,43615228.98082168
SEVERSTAL PAO GDR USD,X84C975,CHMF,RUS,RUB,1,552780,242.1,966.8,9.2648444,5121420.6874319995
SHOPRITE HOLDINGS LTD COMMON STOCK ZAR 113.4,6801575,SHP,JSE,ZAC,1,33424,404627.44,26385.0,12.263748000000001,409903.513152
SIBANYE STILLWATER LTD COMMON STOCK ZAR,BL0L913,SSW,JSE,ZAC,1,141197,473362.89,7036.0,3.2703328000000003,461761.1803616
SISTEMA PJSFC COMMON STOCK RUB 0.09,X84D1F7,AFKS,RUS,RUB,1,12313057,13503.4,13.894,0.133146202,1639436.774559514
STANDARD BANK GROUP LTD COMMON STOCK ZAR 10,B030GJ7,SBK,JSE,ZAC,1,45628,619356.01,32350.0,15.036280000000001,686075.38384
TATNEFT PJSC COMMON STOCK RUB,X84C973,TATN,RUS,RUB,1,730066,24134.71,544.3,5.216026899999999,3808043.8947753995
TATNEFT PJSC PREFERENCE RUB 1,X8C6150,TATNP,RUS,RUB,1,571359,16726.78,518.8,4.971660399999999,2840602.9144836
TCS GROUP HOLDING PLC GDR,X8C4FD3,TCSG,RUS,RUB,1,75226,1750.39,3464.6,33.2012618,2497598.1201668
TECOM GROUP PJSC COMMON STOCK AED 0.1,BLDC8Q1,TECOM,DFM,AED,1,228871,170752.01,3.75,0.7563375,173103.7199625
THE SAUDI NATIONAL BANK,BSHYYN1,1180,TADAWUL,SAR,1,97150,846752.53,41.68,8.165111999999999,793240.6307999999
TIGER BRANDS LTD COMMON STOCK ZAR 10,B0J4PP2,TBS,JSE,ZAC,1,11872,182000.8,31003.0,14.4101944,171077.8279168
TURKIYE SIGORTA AS COMMON STOCK TRY 1,B03MTD8,RAYSG,BIST,TRY,1,737944,150723.33,222.3,3.6657270000000004,2705101.2452880004
UNITED ELECTRONICS CO COMMON STOCK SAR,B4P2SD7,4003,TADAWUL,SAR,1,14337,244711.56,82.85,16.230314999999997,232694.02615499997
UNITED INTERNATIONAL TRANSPORTATION CO COMMON STOCK SAR 10,B2493D0,4260,TADAWUL,SAR,1,6420,75464.87,40.52,7.937868,50961.11256
VALTERRA PLATINUM LTD COMMON STOCK ZAR 10,6761000,VAL,JSE,ZAC,1,7775,536985.6,186055.0,86.478364,672369.2801
VTB BANK PJSC COMMON STOCK RUB 0.01,X8C6392,VTBR,RUS,RUB,1,4246654,37445.44,87.22,0.8358292599999999,3549477.6702960394
WE BUY CARS HOLDINGS LTD COMMON STOCK ZAR,BSB8C80,WBC,JSE,ZAC,1,72103,150447.61,4355.0,2.024204,145951.18101200002
X 5 RETAIL GROUP NV-REGS GDR,X8C4FD9,X5,RUS,RUB,1,275182,1065.64,2427.0,23.257941,6400166.720261999
