,Security Description,Security No.,Symbol,Exchange,Currency,Conv Rate,Holding Jun24,Market Value,SP JPM,SP Jun24,SP Today,fx gbp jun 24,fx gbp today,SP Jun 24 GBP,Error
64,MAGNIT PJSC COMMON STOCK RUB 0.01,0H5813S,MGNT,ALOR,RUB,1,180877.0,53608.66,0.29638185064988914,6369.0,5214.5,0.009094,0.008326,57.919686,194.42251279218695
65,MD MEDICAL GROUP INVESTMENTS PLC GDR USD,0H6371S,MDMG,ALOR,RUB,1,432517.0,19502.78,0.04509136057079837,831.6,839.0,0.009094,0.008326,7.5625704,166.71661587203468
66,KOMERCNI BANKA AS COMMON STOCK CZK 100,4519449,KOMB,PSECZ,CZK,1,5652.0,149524.82,26.45520523708422,782.5,768.0,0.033726,0.033927,26.390594999999998,0.0024422504571482897
67,TURKCELL ILETISIM HIZMET AS,B03MYN3,TCELL,BIST,TRY,1,61090.0,148149.24,2.425098052054346,100.6,98.199997,0.02382,0.02214,2.396292,0.01187830406689903
68,HELLENIC TELECOMMUNICATIONS ORGANIZATION SA COMMON STOCK EUR 2.83,5051605,0FIZ,LSIN,EUR,1,12548.0,142983.47,11.394921102964616,13.65028,11.5,0.84856,0.85156,11.5830815968,0.016512663153624593
69,OPAP SA COMMON STOCK EUR 0.3,7107250,0FI1,LSIN,EUR,1,11282.0,140035.85,12.412324942386102,14.55722,10.65,0.84856,0.85156,12.352674603199999,0.004805734579378146
70,PIRAEUS FINANCIAL HOLDINGS SA COMMON STOCK EUR 0.93,BNC0DB0,0RTY,LSIN,EUR,1,48227.0,139266.59,2.887730731747776,3.354,1.52,0.84856,0.85156,2.84607024,0.014426723132375089
71,PARKIN CO PJSC COMMON STOCK AED 0.02,BRRGQF6,PARKIN,DFM,AED,1,234924.0,137623.92,0.5858231598304133,2.77,3.53,0.21482,0.2075,0.5950514,0.01575260386130536
72,ELM CO COMMON STOCK SAR 10,BNYDSH8,7203,TADAWUL,SAR,1,764.0,137450.47,179.90899214659686,854.0,1004.2,0.2087,0.2015,178.22979999999998,0.009333564301380803
73,BID CORP LTD COMMON STOCK ZAR,BZBFKT7,BID,JSE,ZAR,1,7428.0,136724.31,18.406611470113084,42489.0,43127.0,0.04302,0.04275,18.2787678,0.0069455298885764
74,ALPHA SERVICES AND HOLDINGS SA COMMON STOCK EUR 0.29,BZ1MXR7,0RCS,LSIN,EUR,1,105464.0,136002.07,1.289559186072973,1.48,1.584,0.84856,0.85156,1.2558688,0.02612550586031533
75,SALIK CO PJSC COMMON STOCK AED 0.01,BJN5952,SALIK,DFM,AED,1,187852.0,135941.71,0.7236638949811554,3.36,3.4,0.21482,0.2075,0.7217952,0.0025822691916998915
76,MMC NORILSK NICKEL PJSC COMMON STOCK RUB 1,0H5804S,GMKN,ALOR,RUB,1,7119200.0,135936.9,0.01909440667490729,129.92,121.56,0.009094,0.008326,1.1814924799999997,60.87636516366049
77,ARABIAN CENTRES CO COMMON STOCK SAR 10,BKBF694,4321,TADAWUL,SAR,1,31957.0,135849.66,4.251014175298057,20.379999,21.42,0.2087,0.2015,4.2533057913,0.0005390751259451165
78,BUPA ARABIA FOR COOPERATIVE INSURANCE CO COMMON STOCK SAR 10,B2RLCR0,8210,TADAWUL,SAR,1,2526.0,135397.59,53.60157957244655,246.8,233.8,0.2087,0.2015,51.50716,0.03907384053143041
79,YAPI VE KREDI BANKASI AS COMMON STOCK TRY 1,B03MZJ6,YKBNK,BIST,TRY,1,165133.0,134683.32,0.8156051182985836,33.799999,30.26,0.02382,0.02214,0.80511597618,0.0128605643628927
80,OOREDOO QPSC COMMON STOCK QAR 1,6158174,ORDS,ADX,AED,1,60427.0,132470.78,2.1922448574312807,9.56,10.72,0.21482,0.2075,2.0536792000000004,0.06320719921480025
81,TECOM GROUP PJSC COMMON STOCK AED,BLDC8Q1,TECOM,DFM,AED,1,234111.0,131097.02,0.5599780446027739,2.6,2.85,0.21482,0.2075,0.558532,0.0025823237477098455
82,AVI LTD COMMON STOCK ZAR 5,6040958,AVI,JSE,ZAR,1,30154.0,123568.55,4.097915699409697,9457.0,9970.0,0.04302,0.04275,4.068401400000001,0.007202271001804037
83,MOTUS HOLDINGS LTD COMMON STOCK ZAR,BDRN3H0,MTH,JSE,ZAR,1,30065.0,120325.3,4.002171960751705,9240.0,11193.0,0.04302,0.04275,3.9750480000000006,0.006777310175000438
84,ADNOC LOGISTICS & SERVICES COMMON STOCK AED,BRBN103,ADNOCLS,ADX,AED,1,133931.0,120285.92,0.8981185834496868,4.19,4.97,0.21482,0.2075,0.9000958000000001,0.0022015094518129624
85,ALDREES PETROLEUM AND TRANSPORT SERVICES CO COMMON STOCK SAR 10,B128FF8,4200,TADAWUL,SAR,1,4570.0,117565.01,25.725385120350108,120.4,123.8,0.2087,0.2015,25.127480000000002,0.023241833603382365
86,ERSTE GROUP BANK AG COMMON STOCK EUR 0,5289837,0MJK,LSIN,EUR,1,2657.0,99682.03,37.5167595031991,44.200001,47.544998,0.84856,0.85156,37.50635284856,0.00027738682063440984
87,ARABIAN DRILLING CO COMMON STOCK SAR 10,BPNZYP9,2381,TADAWUL,SAR,1,3385.0,96216.73,28.424440177252585,134.39999,122.4,0.2087,0.2015,28.049277913,0.013198580584634254
88,RAIFFEISEN BANK INTERNATIONAL AG COMMON STOCK EUR 0,B0704T9,0NXR,LSIN,EUR,1,5361.0,73633.07,13.73495056892371,16.32,17.145,0.84856,0.85156,13.8484992,0.008267130668325913
89,NOVATEK PJSC TOTAL,,NVTK,ALOR,RUB,1,1372062.0,160222.55000000002,0.1167750072518589,1091.8,994.6,0.009094,0.008326,9.9288292,84.0252929429122
90,NOVOLIPETSK STEEL PJSC COMMON STOCK RUB,2H7675S,NLMK,ALOR,RUB,1,3657350.0,62896.61,0.017197317730050447,176.92,152.8,0.009094,0.008326,1.6089104799999998,92.5558966377997
91,POLYUS PJSC COMMON STOCK RUB,2H7182S,PLZL,ALOR,RUB,1,29773.0,30376.87,1.020282470694925,12098.0,12986.0,0.009094,0.008326,110.019212,106.83211038122097
92,ROSNEFT OIL CO PJSC TOTAL,,ROSN,ALOR,RUB,1,3719692.0,107524.32,0.028906780453865535,565.25,481.15,0.009094,0.008326,5.1403834999999996,176.82621998336748
93,ROSTELECOM PJSC COMMON STOCK RUB,0H5802S,RTKM,ALOR,RUB,1,6156103.0,41788.25,0.006788101173745793,91.0,82.33,0.009094,0.008326,0.827554,120.91244337970602
94,SBERBANK OF RUSSIA PJSC TOTAL,,SBER,ALOR,RUB,1,16810961.0,211058.6,0.01255482063161053,327.15,266.78,0.009094,0.008326,2.9751020999999995,235.96890519560964
95,SEVERSTAL PAO GDR USD,0H6368S,CHMF,ALOR,RUB,1,552780.0,262.81,0.0004754332645898911,1549.8,1320.0,0.009094,0.008326,14.093881199999998,29643.28921934477
96,SISTEMA PJSFC COMMON STOCK RUB 0.09,0H5808S,AFKS,ALOR,RUB,1,12313057.0,14658.68,0.0011904988338801647,23.749,18.997,0.009094,0.008326,0.21597340599999998,180.41421045838655
97,TATNEFT PJSC TOTAL,,TATN,ALOR,RUB,1,1301425.0,44357.4,0.034083715926772576,699.9,603.1,0.009094,0.008326,6.3648906,185.74286024665557
98,TCS GROUP HOLDING PLC GDR,0H6380S,TCSG,ALOR,RUB,1,75226.0,1900.14,0.025259085954324304,2968.5,2628.0,0.009094,0.008326,26.995538999999997,1067.7456802204047
99,VTB BANK PJSC COMMON STOCK RUB 0.01,0H5837S,VTBR,ALOR,RUB,1,4246655.0,39977.21,0.00941381157640543,105.7,100.18,0.009094,0.008326,0.9612358,101.10909706427736
100,X 5 RETAIL GROUP NV-REGS GDR,0H6365S,FIVE,ALOR,RUB,1,275182.0,1156.81,0.00420379966712939,,,0.009094,0.008326,,
101,YANDEX NV COMMON STOCK USD 0.01,0H6379S,YDEX,ALOR,RUB,1,169819.0,25443.97,0.1498299365795347,4071.2,3832.5,0.009094,0.008326,37.0234928,246.10344037519297
