,Security Description,Security No.,Symbol,Exchange,Currency,Conv Rate,Holding,Market Value
71,SANLAM LTD COMMON STOCK ZAR 1,B0L6750,SLM,JSE,ZAC,1,69192,343304.18
72,SARANTIS SA EUR1.53,7124958,SAR,ATHEX,EUR,1,21104,270961.17
73,SASOL LTD COMMON STOCK ZAR 0,6777450,SOL,JSE,ZAC,1,57759,392054.27
74,SAUDI AWWAL BANK COMMON STOCK SAR 10,B12LSY7,1060,TADAWUL,SAR,1,26440,177738.29
75,SAUDI GROUND SERVICES CO COMMON STOCK SAR 10,BYYTJ69,4031,TADAWUL,SAR,1,20014,127793.75
76,SAUDI TELECOM CO COMMON STOCK,B12M7Q5,7010,TADAWUL,SAR,1,55804,462774.28
77,SBERBANK OF RUSSIA PJSC,X8C6398,SBER,RUS,RUB,1,2355925,27637.49
78,SBERBANK OF RUSSIA PJSC PREFERENCE RUB 3,X8C6155,SBER,RUS,RUB,1,14455036,170807.35
79,SEVERSTAL PAO GDR USD,X84C975,CHMF,RUS,RUB,1,552780,247.1
80,SHOPRITE HOLDINGS LTD COMMON STOCK ZAR 113.4,6801575,SHP,JSE,ZAC,1,33424,413140.16
81,SIBANYE STILLWATER LTD COMMON STOCK ZAR,BL0L913,SSW,JSE,ZAC,1,141197,461853.24
82,SISTEMA PJSFC COMMON STOCK RUB 0.09,X84D1F7,AFKS,RUS,RUB,1,12313057,13782.62
83,STANDARD BANK GROUP LTD COMMON STOCK ZAR 10,B030GJ7,SBK,JSE,ZAC,1,45628,685114.54
84,TATNEFT PJSC COMMON STOCK RUB,X84C973,TATN,RUS,RUB,1,730066,24633.76
85,TATNEFT PJSC PREFERENCE RUB 1,X8C6150,TATNP,RUS,RUB,1,571359,17072.65
86,TCS GROUP HOLDING PLC GDR,X8C4FD3,TCSG,RUS,RUB,1,75226,1786.58
87,TECOM GROUP PJSC COMMON STOCK AED 0.1,BLDC8Q1,TECOM,DFM,AED,1,228871,173823.97
88,THE SAUDI NATIONAL BANK,BSHYYN1,1180,TADAWUL,SAR,1,97150,802953.45
89,TIGER BRANDS LTD COMMON STOCK ZAR 10,B0J4PP2,TBS,JSE,ZAC,1,11872,174898.87
90,TURKIYE SIGORTA AS COMMON STOCK TRY 1,B03MTD8,RAYSG,BIST,TRY,1,737944,151980.97
91,UNITED ELECTRONICS CO COMMON STOCK SAR,B4P2SD7,4003,TADAWUL,SAR,1,14337,235258.94
92,VALTERRA PLATINUM LTD COMMON STOCK ZAR 10,6761000,VAL,JSE,ZAC,1,8776,764215.45
93,VTB BANK PJSC COMMON STOCK RUB 0.01,X8C6392,VTBR,RUS,RUB,1,4246654,38219.73
94,WE BUY CARS HOLDINGS LTD COMMON STOCK ZAR,BSB8C80,WBC,JSE,ZAC,1,72103,146562.57
95,X 5 RETAIL GROUP NV-REGS GDR,X8C4FD9,X5,RUS,RUB,1,275182,1087.67
