,Security Description,Security No.,Symbol,Exchange,Currency,Conv Rate,September 2024,August 2024,July 2024,June 2024,May 2024,April 2024,March 2024,February 2024,January 2024,December 2023,November 2023,October 2023,September 2023,August 2023,July 2023,June 2023,May 2023,April 2023,March 2023,February 2023,January 2023,December 2022,November 2022,October 2022,September 2022,August 2022,July 2022,June 2022,May 2022,April 2022,March 2022
32,EUROBANK ERGASIAS SERVICES AND HOLDINGS SA COMMON STOCK EUR 0.22,BYZ43T4,0RCP,LSIN,EUR,1.0,127190,127190,127190,127190,127190,127190,127190,127190,127190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,SAUDI TELECOM CO COMMON STOCK,B12M7Q5,7010,TADAWUL,SAR,1.0,24635,24635,24635,24635,24635,47333,47333,52618,52618,52618,52618,52618,52618,40325,40325,40325,40325,40325,40325,40325,0,0,0,0,0,0,0,0,0,0,0
34,GAZPROM PJSC COMMON STOCK RUB,0H5796S,,,,1.0,8860909,8860909,8860909,8860909,8860909,8860909,8860909,8860909,8860909,8860909,8860909,8860909,8860909,8860909,8860909,8860909,8860909,8860909,8860909,8860909,8860909,8860909,8860909,8860909,8860909,8860909,8860909,8860909,8860909,8860909,8860909
35,GAZPROM PJSC ADR,0H6364S,,,,1.0,5365084,5365084,5365084,5365084,5365084,5365084,5365084,5365084,5365084,5365084,5365084,5365084,5365084,5365084,5365084,5365084,5365084,5365084,5365084,5365084,5365084,5365084,5365084,5365084,5365084,5365084,5365084,5365084,5365084,5365084,5365084
36,SANLAM LTD COMMON STOCK ZAR 1,B0L6750,SLM,JSE,ZAC,1.0,55547,55547,95185,95185,95185,95185,95185,95185,95185,95185,95185,95185,95185,95185,95185,95185,95185,95185,95185,95185,0,0,0,0,0,0,0,0,0,0,0
37,ADNOC DRILLING CO PJSC COMMON STOCK AED,BN12D39,ADNOCDRILL,ADX,AED,1.0,222461,250715,250715,250715,250715,250715,250715,250715,250715,250715,250715,250715,250715,309743,309743,309743,309743,309743,309743,309743,0,0,0,0,0,0,0,0,0,0,0
38,SBERBANK OF RUSSIA PJSC PREFERENCE RUB 3,0H5856S,,,,1.0,14455036,14455036,14455036,14455036,14455036,14455036,14455036,14455036,14455036,14455036,14455036,14455036,14455036,14455036,14455036,14455036,14455036,14455036,14455036,14455036,14455036,14455036,14455036,14455036,14455036,14455036,14455036,14455036,14455036,14455036,14455036
39,SBERBANK OF RUSSIA PJSC,0H5855S,,,,1.0,2355925,2355925,2355925,2355925,2355925,2355925,2355925,2355925,2355925,2355925,2355925,2355925,2355925,2355925,2355925,2355925,2355925,2355925,2355925,2355925,2355925,2355925,2355925,2355925,2355925,2355925,2355925,2355925,2355925,2355925,2355925
40,CLICKS GROUP LTD COMMON STOCK ZAR 1,6105578,CLS,JSE,ZAC,1.0,11541,11541,11541,11541,11541,11541,11541,13624,13624,13624,13624,22972,22972,22972,22972,20411,6332,6332,6332,6332,0,0,0,0,0,0,0,0,0,0,0
41,TBC BANK GROUP PLC COMMON STOCK GBP 1,BYT1830,TBCG,LSE,GBX,1.0,7421,7421,7421,7421,7421,7421,7421,7421,7421,7421,7421,7421,3504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
