Security Description,Issuer,Security No.,Symbol,Exchange,Currency,Conv Rate
GAZPROM NEFT PJSC COMMON STOCK RUB,GAZPROM NEFT PJSC,0H5803S,SIBN,RUS,RUB,1
GAZPROM NEFT PJSC COMMON STOCK RUB,GAZPROM NEFT PJSC,X84D1F6,SIBN,RUS,RUB,1
GAZPROM PJSC ADR,GAZPROM PJSC ADR,0H6364S,GAZP,RUS,RUB,1
GAZPROM PJSC ADR,GAZPROM PJSC ADR,X84C976,GAZP,RUS,RUB,1
GAZPROM PJSC COMMON STOCK RUB,GAZPROM PJSC,X8C529A,GAZP,RUS,RUB,1
GAZPROM PJSC COMMON STOCK RUB,GAZPROM PJSC,0H5796S,GAZP,RUS,RUB,1
GOLD FIELDS LTD COMMON STOCK ZAR 50,GOLD FIELDS LTD,6280215,0QQ8,LSE,CHF,1
GRUPA KETY SA COMMON STOCK PLN 2.5,GRUPA KETY SA,5216385,0LV3,LSE,PLN,1
HALYK SAVINGS BANK OF KAZAKHSTAN JSC GDR USD,HALYK SAVINGS BANK OF KAZAKHSTAN JSC GDR USD,B1KDG41,HSBK,LSIN,USD,1
HARMONY GOLD MINING CO LTD COMMON STOCK ZAR 50,HARMONY GOLD MINING CO LTD,6410562,0J39,LSE,USD,1
HELLENIC TELECOMMUNICATIONS ORGANIZATION SA COMMON STOCK EUR 2.83,HELLENIC TELECOMMUNICATIONS ORGANIZATION SA,5051605,0FIZ,LSIN,EUR,1
HUMANSOFT HOLDING CO KSC COMMON STOCK KWD 100,HUMANSOFT HOLDING CO KSC,B13BYX7,HUMANSOFT,KSE,KWF,1
IMPALA PLATINUM HOLDINGS LTD COMMON STOCK ZAR 0,IMPALA PLATINUM HOLDINGS LTD,B1FFT76,0S2J,LSE,USD,1
INDUSTRIES QATAR QSC COMMON STOCK QAR 1,INDUSTRIES QATAR QSC,6673570,IQCD,QSE,QAR,1
JARIR MARKETING CO COMMON STOCK SAR 1,JARIR MARKETING CO,B128FM5,4190,TADAWUL,SAR,1
