symbol,isin,winding_down,auditable,audit_link
JEDT,GB00BMTS0Z37,,TRUE,
JEGI,GB00BPR9Y246,,TRUE,
JARA,GG00BJVKW831,,FALSE,
JEMI,GB00B5ZZY915,,TRUE,
JGGI,GB00BYMKY695,,TRUE,
JII,GB0003450359,,TRUE,
JSGI,GB0003165817,,TRUE,
JFJ,GB0001740025,,TRUE,
JUGI,GB00BF7L8P11,,TRUE,
JUSC,GB00BJL5F346,,TRUE,
JGC,GB00B120GL77,,TRUE,
JZCP,GG00BT3MVL31,TRUE,FALSE,
KPC,GB00BK96BB68,,TRUE,
LWDB,GB0031429219,,TRUE,
LABS,GB00BP5X4Q29,,FALSE,
LSAA,GB00BF1Q4B05,,FALSE,
LTI,GB0031977944,,TRUE,
BOOK,GB00BMF1L080,,FALSE,
LFI,,,FALSE,
LWI,GB00BNXGHS27,,TRUE,
MGCI,GB00BFYYL325,,FALSE,
MPO,GG00BGDYFV61,,FALSE,
MAJE,GB0005555221,,FALSE,
MNL,GB0002258472,,TRUE,
MNP,GB0005372411,,TRUE,
MVR2,KYG5897M2326,,FALSE,
MVIR,KYG5897M2326,,FALSE,
MVI,KYG5897M1740,,FALSE,
MAV4,GB00B043QW84,,FALSE,
MIG5,GB0002057536,,FALSE,
MIG1,GB0004122858,,FALSE,
MIG3,GB0031153769,,FALSE,
MHN,GB00BZ0XWD04,,TRUE,
MRC,GB00BF4JDH58,,TRUE,
MRCH,GB0005800072,,TRUE,
MWY,GB00B6VTTK07,,TRUE,
MCT,GB00B15PV034,,TRUE,
MIGO,GB0034365949,,TRUE,
MINI,GB00BWFGQ085,,TRUE,
MIX,GB00B01WL239,,TRUE,
MMIT,GB00BFZ7R980,,TRUE,
GROW,GB00BY7QYJ50,,FALSE,
MVCT,GB0002867140,,FALSE,
MNKS,GB0030517261,,TRUE,
MTE,GB00BM8H3X05,,TRUE,
MTU,GB00BZ1H9L86,,TRUE,
MUT,GB0006111123,,TRUE,
MYI,GB00BQZCCB79,,TRUE,
NBDX,GG00BR88RQ95,,FALSE,
NBDG,GG00BNTXRB08,,FALSE,
NBPE,GG00B1ZBD492,,FALSE,
NSI,GB0002631041,,TRUE,
NESF,GG00BJ0JVY01,,FALSE,
NAVF,GB00BKLGLS10,,TRUE,https://www.nipponactivevaluefund.com/factsheet-archive/
NAIT,GB00BJ00Z303,,TRUE,
NAS,GB0006439003,,TRUE,https://www.oryxinternationalgrowthfund.co.uk/fund-information
NTV,GB0005356430,,FALSE,
NTN,GB0031152027,,FALSE,
NVT,GB0006450703,,FALSE,
OCI,BMG670131058,,FALSE,https://www.oakleycapitalinvestments.com/media/prak1kmv/oci-factsheet-june-2024.pdf
OVCT,GB00B1SN3863,,TRUE,
OSEC,GB00B0JQZZ80,,TRUE,
OFG,GB00BNGFHX14,,FALSE,
ORIT,GB00BJM02935,,FALSE,
OIT,GB00BFFK7H57,,TRUE,
ONWD,GG00BMZR1514,,TRUE,https://onwardopportunities.co.uk/quarterly-factsheets-commentary/
OIG,GG00B3BTVQ94,,TRUE,
OT3,,,FALSE,
OT1,,,FALSE,
OT4,GB00BN73FP21,,FALSE,
OXH,GB0003105052,,FALSE,
PAC,GB0006674385,,TRUE,
PHI,GB0006667470,,TRUE,
PINT,GB00BLNNFL88,,FALSE,
PIN,GB00BP37WF17,,FALSE,
PEY,GG00B28C2R28,,FALSE,
PPET,GB0030474687,,FALSE,
PEMB,GB00BQVC9S79,,FALSE,
PSH,GG00BPFJTF46,,TRUE,
PNL,GB00BM8B5H06,,TRUE,
PHLL,GB00BL9ZF303,,FALSE,
PSDL,JE00B248KJ21,,FALSE,
PCFT,GB00B9XQT119,,TRUE,
PCGH,GB00B6832P16,,TRUE,
PCT,GB00BR3YV268,,TRUE,
PMGR,GB0033537902,,FALSE,
PEYS,GG00B28C2R28,,FALSE,
PGOO,GB00B5B7YS03,,FALSE,
PVN,GB00B8GH9P84,,FALSE,
PRSR,GB00BF01NH51,,FALSE,
RECI,GB00B0HW5366,,FALSE,
RGL,GG00BSY2LD72,,FALSE,
RESI,GB00BYSX1508,,FALSE,
RIII,GB0007392078,,TRUE,
RCP,GB0007366395,,FALSE,
RMMC,GG00BNDMJP11,,TRUE,
RSE,GG00BBHXCL35,,FALSE,
RMII,GB00BYMTBG55,TRUE,FALSE,
RKW,GB00BRRD5L66,,TRUE,https://d1bcjbyi5yiron.cloudfront.net/app/uploads/2024/07/Factsheet-Q2-2024.pdf
RTW,GG00BKTRRM22,,FALSE,
RICA,GB00B018CS46,,TRUE,https://www.ruffer.co.uk/-/media/ruffer-website/files/fund-reports/ric/2024/2024-08-ric-fund-report-aug2024.pdf
MNTN,GG00BJ0CDD21,,FALSE,
SDP,GB0007918872,,TRUE,
