Schroder Brit, SBO, 
Schroder Bsc S., SBSI, 
Schroder Income Growth Fund, SCF, 
Schroder UK Mid & Small Cap Fund, SCP, 
Schroder AsiaPacific Fund, SDP, 
Chelvertn Uk, SDV, 
Sdv 2025 Zdp, SDVP, 
Strategic Eqty, SEC, 
Sdcl Energy Ef., SEIT, 
Sequoia Economic Infrastructure Fund, SEQI, 
Shires Inc., SHRS, 
Schroder Japan, SJG, 
Scottish Mortgage, SMT, 
Seraphim Sp, SSIT, 
Smithson Invest, SSON, 
Scot.orntl.smll, SST, 
Sts Global Inc, STS, 
Sure Ventures, SURE, 
Seneca B, SVCT, 
Svm Uk Emerg, SVM, 
Starwood Eur, SWEF, 
Syncona, SYNC, 
Templeton Emerging Markets, TEM, 
Triple Pt. Engy, TENT, 
Throgmorton Trust, THRG, 
Tiger Resource, TIR, 
Taylor Maritim, TMIP, 
Temple Bar Investment Trust, TMPL, 
Triple Point Ve, TPV, 
TR Property Investment Trust, TRY, 
Thames V.2 Aim, TV2A, 
Thames V.2 Hlth, TV2H, 
Thames V.2 Vent, TV2V, 
Unicorn Asset Management, UAV, 
Utilico Emerging Markets, UEM, 
Greencoat UK Wind, UKW, 
Baillie Gifford, USA, 
Us Solar Fund, USF, 
Us Solar Fund, USFP, 
Vipera, VIP, 
Witan, WTAN, 
Worldwide Healthcare Trust, WWH, 
